,Organizations,Technologies,Slots,Ideas Page,Contact
0,52°North GmbH," javascript, java, ogc standards, web services,  python",3,https://wiki.52north.org/Projects/GSoC2021ProjectIdeas,https://wiki.52north.org/Projects/GSoC#Contact
1,AboutCode,"python, django, javascript, postgres",4,https://github.com/nexB/aboutcode/wiki/GSOC-2021,https://gitter.im/aboutcode-org/discuss
2,Accord Project,"javascript, react, coq, ocaml, compiler",3,https://github.com/accordproject/techdocs/wiki/Google-Summer-of-Code-2021,https://accord-project-slack-signup.herokuapp.com/
3,AerospaceResearch.net,"python, sqlite, raspberry pi, machine learning, sdr",6,https://aerospaceresearch.net/?page_id=2156,https://aerospaceresearch.zulipchat.com/
4,AFLplusplus,"fuzzing, instrumentation, c/c++, rust, llvm",2,https://github.com/AFLplusplus/AFLplusplus/blob/dev/docs/ideas.md,https://github.com/AFLplusplus/AFLplusplus/issues/783
5,Android Graphics Tools Team,"c++, spir-v, webgpu, opengl,  java",3,https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2021.md,mailto:android-graphics-tools@google.com
6,AnkiDroid,"java,  javascript, gradle, android",2,https://docs.google.com/document/d/14wAQ9rsSj8CDbwi-hcnFKxO3uE8atq2QDwDrBTRM3BU/edit?usp=sharing,https://discord.gg/JXaqQDp
7,AOSSIE,"scala, javascript, machine learning, android, ios",11,https://aossie.gitlab.io/pages/ideas.html,https://gitter.im/aossie/home
8,Apertium,"c++,  python, bash, xml,  javascript",10,http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,http://wiki.apertium.org/wiki/IRC
9,apertus° Association,"fpga, linux, embedded, vhdl, c/c++",5,https://lab.apertus.org/project/view/20/,https://www.apertus.org/irc-chat
10,ArduPilot,"drones, robotics, c/c++, linux,  python",3,https://ardupilot.org/dev/docs/gsoc-ideas-list.html,https://ardupilot.org/discord
11,Audacity,c++,2,https://wiki.audacityteam.org/wiki/GSoC_Ideas_2021,https://discord.gg/QtkZDUEphQ
12,BeagleBoard.org Foundation,"risc-v, linux, arm, dsp, fpga",6,https://bbb.io/gsocideas,https://bbb.io/gsocchat
13,Bench-Routes," golang, docker, react",2,https://github.com/bench-routes/bench-routes/wiki/GSoC-2021-Idea-List,https://gitter.im/bench-routes/community
14,Blender Foundation,"c, c++, python, opengl, vulkan",8,https://wiki.blender.org/wiki/GSoC/Ideas_Suggestions,https://blender.chat/channel/blender-coders
15,Boost C++ Libraries,"c++, c++11, c++14, c++17, c++20",8,https://github.com/boostorg/wiki/wiki/Google-Summer-of-Code:-2021,https://lists.boost.org/mailman/listinfo.cgi/boost
16,BRL-CAD,"opencl, opengl, c/c++, python, scripting",6,https://github.com/opencax/GSoC,https://brlcad.zulipchat.com
17,caMicroscope," javascript,  python, medical imaging, tensorflow, mongodb",5,https://github.com/camicroscope/GSOC,http://bit.ly/camicroscope
18,Casbin," golang, java,  javascript,  python,  nodejs",9,https://github.com/casbin/SummerOfCode2021,https://casbin.org/en/help
19,CASTOR,"java, scala, bytecode",2,https://docs.google.com/document/d/1zCRSd0M4rVbyyDqUPDTTu0FihMuyotTZCTaw-48ort0/edit,https://www.castor.kth.se/stay-tuned/
20,CCExtractor Development,"rust, c, python, flutter",9,https://ccextractor.org/public:gsoc:ideas_page_for_summer_of_code_2021,https://www.ccextractor.org/public:general:support
21,"Center for Research in Open Source Software, UC Santa Cruz","c/c++, c++17, arrow, ceph, robotics",5,https://uccross.github.io/projects,https://gitter.im/uccross/gsoc
22,Ceph," c++,  python, angular,  javascript,  typescript",7,https://ceph.io/contribute/google-summer-of-code/,https://ceph.io/irc/
23,CERN-HSF,"c/c++,  python, data analysis, concurrency, container orchestration",25,http://hepsoftwarefoundation.org/activities/gsoc.html,https://gitter.im/HSF/HSF-GSoC?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge
24,CGAL Project,"c/c++, qt",5,https://github.com/CGAL/cgal/wiki/Project-Ideas,https://www.cgal.org/mailing_list.html
25,CHAOSS Project,"python, vue, elk, nltk, fossology",6,https://github.com/chaoss/governance/blob/master/GSoC-Ideas.md,http://chaoss.community/participate/
26,Chapel,"chapel, high performance computing, c, c++, python",3,https://chapel-lang.org/gsoc/ideas.html,https://chapel-lang.org/developers.html
