,Organizations,Technologies,Slots,Ideas Page,Contact
0,52°North Initiative for Geospatial Open Source Software GmbH,"web services, ogc standards, java, javascript, web",1,https://wiki.52north.org/Projects/GSoC2017ProjectIdeas,http://list.52north.org/mailman/listinfo/gsoc
1,AboutCode,"python, c/c++, javascript,  shell script, static analysis",4,https://github.com/nexB/aboutcode/wiki/GSOC-2017,https://webchat.freenode.net/?channels=#aboutcode
2,AerospaceResearch.net,"python, c/c++, vhdl, boinc",6,http://aerospaceresearch.net/?page_id=202,https://lists.shackspace.de/mailman/listinfo/constellation
3,aimacode,"python,  javascript, machine learning, artificial intelligence, java",4,http://aima.cs.berkeley.edu/gsoc-ideas.html,https://gitter.im/aimacode/
4,Amahi," android, golang, restful api, streaming, ruby on rails",3,https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas,http://talk.amahi.org
5,AOSSIE - Australian Open Source Software Innovation and Education,"scala, javascript/html/css, automated reasoning, android/ios, xcode",13,https://aossie.gitlab.io/#ideas,https://groups.google.com/forum/#!forum/aossie-gsoc-2017
6,Apache Software Foundation,"java, c, erlang",23,http://s.apache.org/gsoc2017ideas,https://wiki.apache.org/general/IRC
7,Apertium,"c++, xml, python, nlp",10,http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,http://wiki.apertium.org/wiki/IRC
8,Apertus Association,"fpga, vhdl, c, linux, c++",1,https://lab.apertus.org/project/view/20/,https://www.apertus.org/irc-chat
9,appleseedhq,"c++, python, qt",3,https://github.com/appleseedhq/appleseed/wiki/List-of-Project-ideas-for-GSoC-2017,https://groups.google.com/forum/#!forum/appleseed-dev
10,ArduPilot,"c++, python, embedded, rtos, ros",3,http://ardupilot.org/dev/docs/gsoc-ideas-list.html,https://gitter.im/ArduPilot/GSoC
11,Babel,"javascript, babel, nodejs",2,https://github.com/babel/babel/wiki/Google-Summer-of-Code-Proposals,https://slack.babeljs.io
12,Bazel,"java, linux, go",0,https://github.com/bazelbuild/bazel/wiki/Project-Ideas,mailto:bazel-core@googlegroups.com
13,BeagleBoard.org Foundation,"javascript, linux, beaglebone, python, c",6,http://bbb.io/gsocideas,http://bbb.io/gsocchat
14,Beam Community,"erlang, elixir, lisp, xmpp",7,https://github.com/beamcommunity/beamcommunity.github.com/wiki,https://beamcommunity.github.io/
15,BeeWare Project,"python, mobile, ios, android",3,https://github.com/pybee/pybee.github.io/wiki/GSoC-Project-Ideas,https://gitter.im/pybee
