,Organizations,Technologies,Slots,Ideas Page,Contact
0,3DTK,"c/c++,  cmake, opencv, ros, boost",2,http://slam6d.sourceforge.net/wishlist.html,https://sourceforge.net/p/slam6d/discussion/
1,52° North Initiative for Geospatial Open Source Software GmbH,"javascript,  java, spring, r, big data",1,https://wiki.52north.org/Projects/GSoC2018ProjectIdeas,https://wiki.52north.org/Projects/GSoC#Contact
2,AerospaceResearch.net,"python, c/c++, vhdl, boinc,  java",6,https://aerospaceresearch.net/?page_id=612,https://aerospaceresearch.net/?page_id=612
3,aimacode," python,  java,  javascript, ai, jupyter",5,https://github.com/aimacode/aima-gsoc,https://gitter.im/aimacode/Lobby
4,Amahi,"ruby on rails, golang, swift, javascript, android",5,https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas,http://talk.amahi.org/
5,AOSSIE - Australian Open Source Software Innovation and Education,"scala, isabelle proof assistant, browser extension, javascript/html5/css3, android/ios",13,http://aossie.org/#ideas,http://gitter.im/GSoC-AOSSIE/
6,Apache Software Foundation,"c, java, erlang",23,http://s.apache.org/gsoc2018ideas,https://wiki.apache.org/general/IRC
7,Apertium,"c++, python, xml, fsts",11,http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,http://wiki.apertium.org/wiki/IRC
8,Apertus Association,"fpga, embedded, linux, c/c++, vhdl",4,https://lab.apertus.org/project/view/20/,https://www.apertus.org/irc-chat
9,appleseedhq,"c/c++, qt",3,https://github.com/appleseedhq/appleseed/wiki/List-of-Project-Ideas-for-GSoC-2018,https://slackin-naplrzjfoz.now.sh/
10,ArduPilot,"drones, python, linux, c/c++, robotics",5,http://ardupilot.org/dev/docs/gsoc-ideas-list.html,https://gitter.im/ArduPilot/GSoC
11,BeagleBoard.org Foundation,"linux, gcc, real-time, physical computing, iot",3,https://bbb.io/gsocideas,https://beagleboard.org/chat
12,Beam Community,"erlang, xmpp",6,https://github.com/beamcommunity/beamcommunity.github.com/wiki,http://beamcommunity.github.io
13,BeeWare Project,"python, ios, android, javascript,  java",2,https://github.com/pybee/pybee.github.io/wiki/GSoC-Project-Ideas,https://gitter.im/pybee
14,Berkman Klein Center for Internet & Society at Harvard University,"ruby on rails, meteor.js, elasticsearch, javascript, elk",2,https://cyber.harvard.edu/gsoc,https://cyber.harvard.edu/gsoc/Main_Page#Contact_Us
15,Blender Foundation,"c, c++, python, opengl, opencl",5,https://wiki.blender.org/index.php/Dev:Ref/GoogleSummerOfCode/2018/Ideas,https://www.blender.org/get-involved/developers/
16,Boost C++ Libraries,"c++11, c++14, c++, c++17",9,https://github.com/boostorg/boost/wiki/Boost-Google-Summer-of-Code-2018,http://www.boost.org/community/irc.html
17,Boston University / XIA,"xia, linux kernel, c, advanced data structures,  ddos",4,https://github.com/AltraMayor/XIA-for-Linux/wiki/Ideas-list,http://groups.google.com/group/linux-xia
18,BRL-CAD,"c/c++, qt, opengl, opencl, tcl/tk",7,http://brlcad.org/wiki/Google_Summer_of_Code/Project_Ideas,https://brlcad.zulipchat.com
19,Canadian Centre for Computational Genomics,"r, perl, awk, bash, python",3,https://bitbucket.org/mugqic/gsoc_2018,mailto:info@computationalgenomics.ca
20,Catrobat,"java, android, ios, espresso",5,http://developer.catrobat.org/gsoc_2018_ideas_page.html,http://catrob.at/mailinglist
21,CCExtractor Development,"c, python, arduino, node.js, c#",6,https://ccextractor.org/public:gsoc:ideas_page_for_summer_of_code_2018,https://ccextractor.org/public:general:support
22,Center for Research In Open Source Software (CROSS) at UC Santa Cruz,"ceph, hadoop, c++, javascript,  python",2,https://cross.ucsc.edu/cross-gsoc/,https://cross.ucsc.edu/about/contact/
23,CERN-HSF,"c/c++, python, data analysis, machine learning, parallelization",26,http://hepsoftwarefoundation.org/activities/gsoc.html,http://hepsoftwarefoundation.org/activities/gsoc.html
24,CGAL Project,"c++, github, git",7,https://github.com/CGAL/cgal/wiki/Project-Ideas,http://www.cgal.org/mailing_list.html
25,CHAOSS: Community Health Analytics Open Source Software,"python 3,  javascript",2,https://wiki.linuxfoundation.org/chaoss/gsoc-ideas,https://wiki.linuxfoundation.org/chaoss/metrics
26,Checker Framework,java,3,https://checkerframework.org/gsoc-2018-ideas.html,https://groups.google.com/forum/#!forum/checker-framework-gsoc
27,CiviCRM LLC,"php, mysql, angularjs, d3.js",4,https://lab.civicrm.org/community-team/gsoc2018/blob/master/projects.md,https://chat.civicrm.org
28,Classical Language Toolkit," python,  javascript",3,https://github.com/cltk/cltk/wiki/Project-ideas,https://gitter.im/cltk/cltk
29,"CLiPS, University of Antwerp","python, javascript, mongodb",4,https://docs.google.com/document/d/1U37CixY13O5Lrd_j75xD3vcSg6vmEosH7ubQIGPIURg,http://www.clips.uantwerpen.be:3001
30,Cloud Native Computing Foundation (CNCF),"kubernetes, prometheus, grpc, docker, golang",7,https://github.com/cncf/soc,https://github.com/cncf/soc/issues
31,CloudCV,"machine learning, deep learning, computer vision, artificial intelligence, cloud",5,http://gsoc.cloudcv.org,https://gitter.im/Cloud-CV/
32,coala,"django, python 3, antlr, emberjs, reactjs",14,https://projects.coala.io/,http://coala.io/chat
33,Computational Biology @ University of Nebraska-Lincoln,"javascript, webgl, reactjs, flask",4,http://helikarlab.org/GSoC2018.html,https://groups.google.com/forum/#!forum/helikarlab-gsoc
34,Conversations.im,"java, android, xmpp, gtk, javascript",3,https://conversations.im/gsoc.html,https://conversations.im/j/gsoc@conference.conversations.im
35,Cuneiform Digital Library Initiative,"python, mariadb, rdf, php, nltk",2,https://github.com/cdli-gh/Framework/wiki/Google-Summer-of-Code-2018---Ideas-List,mailto:cdli@ucla.edu
36,DBpedia,"rdf, scala, sparql",3,https://github.com/dbpedia/GSoC/issues?q=is%3Aissue+is%3Aopen+label%3Aproject+label%3Agsoc-2018,https://dbpedia.slack.com/
37,Debian Project,"javascript,  ruby,  java,  python, c/c++",22,https://wiki.debian.org/SummerOfCode2018/Projects,https://wiki.debian.org/IRC
38,Developers Italia,"python, ruby, node.js,  java, c/c++",2,https://developers.italia.it/en/gsoc-ideas/,https://slack.developers.italia.it
39,Digital Impact Alliance,"android, java, php,  python,  javascript",2,http://gsoc.dial.community/,https://dial.zulipchat.com/
40,Django Software Foundation,"python, django",0,https://code.djangoproject.com/wiki/SummerOfCode2018,https://docs.djangoproject.com/en/dev/internals/contributing/new-contributors/
41,Drupal,"web, web development, content management system, cms, object-oriented",1,https://groups.drupal.org/node/518074,http://drupal.org/irc#drupal-google
42,Earth Science Information Partners (ESIP)," kubernetes,  dask,  xarray,  python, javascript",2,https://github.com/ESIPFed/GSoC/issues,https://esip-slack-invite.herokuapp.com/
43,Elastic," java, golang, node.js, react, jruby",2,https://github.com/elastic/gsoc#ideas,https://discuss.elastic.co/c/elastic-community/elastic-gsoc
44,Eta,"haskell, jvm,  java",2,https://eta-lang.org/contribute/gsoc/2018,https://gitter.im/typelead/eta
45,Fedora Project,"linux, python, git, postgresql, ansible",5,https://docs.fedoraproject.org/mentored-projects/gsoc/2018/ideas.html,https://webchat.freenode.net/?channels=#fedora-summer-coding
46,FFmpeg,"c, asm, git",5,https://trac.ffmpeg.org/wiki/SponsoringPrograms/GSoC/2018,http://ffmpeg.org/contact.html#IRCChannels
47,FOSSASIA,"java, javascript, python, android, artificial intelligence",32,https://labs.fossasia.org/ideas,https://gitter.im/fossasia/fossasia
48,FOSSology,"php, postgresql, lamp, linux, c/c++",1,https://wiki.fossology.org/gsoc-2018,http://fossology.slack.com
49,Free and Open Source Silicon Foundation,"fpga, verilog, c, chisel, synthesis",6,https://fossi-foundation.org/gsoc18-ideas,https://gitter.im/librecores/Lobby
